CustomerID,CustomerName,BirthDate,Gender,MaritalStatus,TotalChildren,HouseOwnerFlag,NumberCarsOwned,Education,Occupation,Continent,Country,State,City,YearlyIncome,DateFirstPurchase
11021,Destiny Wilson,1984-03-02,F,S,0,0,1,Partial College,Skilled Manual,North America,United States,Oregon,Beaverton,40000.00,2013-01-23
11022,Ethan Zhang,1984-04-10,M,M,0,1,1,Partial College,Skilled Manual,North America,United States,Washington,Bellingham,40000.00,2013-01-20
11023,Seth Edwards,1984-04-09,M,M,0,1,1,Partial College,Skilled Manual,North America,United States,California,Bellflower,40000.00,2013-02-17
11024,Russell Xie,1984-03-16,M,M,0,1,2,Partial College,Skilled Manual,North America,United States,California,Concord,60000.00,2013-06-27
11025,Alejandro Beck,1951-06-22,M,M,2,1,2,Partial High School,Clerical,Pacific,Australia,Queensland,Hawthorne,10000.00,2011-01-06
11026,Harold Sai,1951-10-01,M,S,2,0,2,Partial College,Clerical,Pacific,Australia,New South Wales,Goulburn,30000.00,2011-01-23
11027,Jessie Zhao,1952-06-05,M,M,2,1,2,Partial College,Clerical,Pacific,Australia,Victoria,Warrnambool,30000.00,2011-01-16
11028,Jill Jimenez,1951-10-09,F,M,2,1,2,Partial College,Clerical,Pacific,Australia,New South Wales,St. Leonards,30000.00,2011-01-26
11029,Jimmy Moreno,1952-06-19,M,M,2,1,2,Partial College,Clerical,Pacific,Australia,Victoria,Bendigo,30000.00,2011-01-19
11030,Bethany Yuan,1958-02-18,F,M,2,1,2,Partial High School,Clerical,Pacific,Australia,South Australia,Cloverdale,10000.00,2011-02-05
11031,Theresa Ramos,1953-02-18,F,M,4,1,2,High School,Skilled Manual,Pacific,Australia,New South Wales,Matraville,20000.00,2011-02-01
11032,Denise Stone,1952-12-08,F,M,4,1,2,High School,Skilled Manual,Pacific,Australia,Victoria,Melbourne,20000.00,2011-02-18
11033,Jaime Nath,1958-09-19,M,M,4,1,2,High School,Skilled Manual,Pacific,Australia,New South Wales,Milsons Point,20000.00,2011-02-15
11034,Ebony Gonzalez,1952-12-16,F,M,4,1,2,High School,Skilled Manual,Pacific,Australia,New South Wales,North Sydney,20000.00,2011-02-01
11035,Wendy Dominguez,1953-08-23,F,M,2,1,2,Partial High School,Clerical,Pacific,Australia,Victoria,Cranbourne,10000.00,2011-02-06
11036,Jennifer Russell,1984-06-16,F,M,0,1,2,Partial College,Skilled Manual,North America,United States,California,National City,60000.00,2013-01-22
11037,Chloe Garcia,1983-05-27,F,S,0,0,2,Partial High School,Clerical,North America,Canada,British Columbia,Cliffside,40000.00,2013-01-20
11038,Diana Hernandez,1953-09-20,F,M,2,1,2,Partial High School,Clerical,Pacific,Australia,New South Wales,Lavender Bay,10000.00,2011-02-07
11039,Marc Martin,1954-06-16,M,M,3,1,2,Partial College,Clerical,Pacific,Australia,New South Wales,Wollongong,30000.00,2011-02-07
11040,Jesse Murphy,1983-01-29,M,M,0,1,2,Partial College,Skilled Manual,North America,United States,Washington,Tacoma,30000.00,2013-04-03
11041,Amanda Carter,1983-04-15,F,M,0,1,2,Partial College,Skilled Manual,North America,United States,California,Glendale,60000.00,2013-01-14
11042,Megan Sanchez,1982-12-11,F,M,0,1,2,Partial College,Skilled Manual,North America,United States,California,Los Angeles,70000.00,2013-01-21
11043,Nathan Simmons,1981-08-23,M,M,0,1,2,Partial College,Skilled Manual,North America,United States,California,Glendale,60000.00,2013-05-08
11044,Adam Flores,1954-11-21,M,M,2,1,2,Partial High School,Clerical,Pacific,Australia,Queensland,Hervey Bay,20000.00,2011-02-28
11045,Leonard Nara,1955-11-16,M,S,3,0,2,High School,Skilled Manual,Pacific,Australia,New South Wales,Matraville,30000.00,2013-04-10
11046,Christine Yuan,1955-09-19,F,M,3,1,2,High School,Skilled Manual,Pacific,Australia,New South Wales,Lavender Bay,30000.00,2011-02-06
11047,Jaclyn Lu,1955-08-27,F,M,3,0,2,High School,Skilled Manual,Pacific,Australia,Victoria,Geelong,30000.00,2011-02-03
11048,Jeremy Powell,1956-05-21,M,M,3,1,2,High School,Skilled Manual,Pacific,Australia,Victoria,Sunbury,30000.00,2011-02-10
11049,Carol Rai,1986-01-15,F,S,0,1,2,Partial High School,Clerical,North America,United States,California,Chula Vista,40000.00,2013-03-09
11050,Alan Zheng,1957-03-06,M,M,3,1,2,High School,Skilled Manual,Pacific,Australia,Tasmania,Hobart,30000.00,2011-02-20
11051,Daniel Johnson,1957-01-31,M,S,3,0,2,High School,Skilled Manual,Pacific,Australia,Queensland,Caloundra,30000.00,2013-12-29
11052,Heidi Lopez,1957-02-03,F,S,2,0,2,Partial College,Clerical,Pacific,Australia,New South Wales,Matraville,40000.00,2011-02-17
11053,Ana Price,1986-02-17,F,M,0,0,2,Partial College,Skilled Manual,North America,United States,California,San Diego,60000.00,2013-01-17
11054,Deanna Munoz,1957-09-07,F,M,2,1,2,Partial College,Skilled Manual,Pacific,Australia,Victoria,Geelong,40000.00,2011-02-03
11055,Gilbert Raje,1957-09-02,M,M,2,1,2,Partial College,Skilled Manual,Pacific,Australia,Queensland,East Brisbane,40000.00,2011-01-31
11056,Michele Nath,1958-10-01,F,M,3,1,2,Partial College,Skilled Manual,Pacific,Australia,New South Wales,Newcastle,40000.00,2011-02-26
11057,Carl Andersen,1970-04-07,M,M,2,1,2,Graduate Degree,Management,Pacific,Australia,New South Wales,Lane Cove,70000.00,2011-02-22
11058,Marc Diaz,1965-04-23,M,M,2,1,2,Partial College,Skilled Manual,Pacific,Australia,South Australia,Findon,80000.00,2011-03-09
11059,Ashlee Andersen,1959-09-29,F,S,2,1,2,Partial College,Skilled Manual,Pacific,Australia,Queensland,Townsville,80000.00,2013-02-18
11060,Jon Zhou,1959-09-14,M,M,2,1,2,Partial College,Skilled Manual,Pacific,Australia,Victoria,Warrnambool,80000.00,2011-03-19
11061,Todd Gao,1976-02-20,M,M,2,1,2,Partial College,Skilled Manual,Pacific,Australia,Queensland,Gold Coast,80000.00,2011-03-13
11062,Noah Powell,1981-03-01,M,M,0,1,2,High School,Skilled Manual,North America,United States,Oregon,Portland,40000.00,2013-01-07
11063,Angela Murphy,1980-10-04,F,S,0,1,2,High School,Skilled Manual,North America,United States,Washington,Redmond,40000.00,2013-01-12
11064,Chase Reed,1981-06-05,M,M,0,1,2,High School,Skilled Manual,North America,United States,California,Downey,40000.00,2013-01-25
11065,Jessica Henderson,1979-04-08,F,M,0,0,2,Partial College,Skilled Manual,North America,United States,California,La Jolla,60000.00,2013-02-10
11066,Grace Butler,1979-05-27,F,M,0,1,2,Partial College,Professional,North America,United States,Oregon,Lebanon,70000.00,2013-05-31
11067,Caleb Carter,1982-03-25,M,S,0,1,2,Partial College,Professional,North America,United States,Washington,Port Orchard,60000.00,2013-08-18
11068,Tiffany Liang,1966-09-19,F,S,2,1,2,High School,Skilled Manual,Pacific,Australia,Victoria,Warrnambool,80000.00,2013-04-30
11069,Carolyn Navarro,1966-09-17,F,S,2,0,2,High School,Skilled Manual,Pacific,Australia,Queensland,Gold Coast,80000.00,2011-04-17
11070,Willie Raji,1960-10-02,M,M,2,1,2,High School,Skilled Manual,Pacific,Australia,Victoria,Sunbury,80000.00,2011-04-28
11071,Linda Serrano,1960-12-23,F,S,2,1,2,High School,Skilled Manual,Pacific,Australia,Queensland,Hawthorne,80000.00,2013-03-01
11072,Casey Luo,1960-08-05,F,S,2,0,2,High School,Skilled Manual,Pacific,Australia,New South Wales,St. Leonards,80000.00,2011-03-31
11073,Amy Ye,1962-02-11,F,S,2,1,2,High School,Skilled Manual,Pacific,Australia,New South Wales,Springwood,70000.00,2013-03-23
11074,Levi Arun,1962-02-25,M,S,2,1,2,High School,Skilled Manual,Pacific,Australia,South Australia,Cloverdale,70000.00,2013-03-23
11075,Felicia Jimenez,1963-05-16,F,S,2,1,2,High School,Professional,Pacific,Australia,Victoria,Bendigo,80000.00,2011-04-28
11076,Blake Anderson,1963-01-10,M,S,2,1,2,High School,Professional,Pacific,Australia,New South Wales,Wollongong,80000.00,2011-04-21
11077,Leah Ye,1963-03-19,F,S,2,0,2,High School,Professional,Pacific,Australia,Victoria,Melton,80000.00,2011-04-15
11078,Gina Martin,1985-01-06,F,S,0,0,2,High School,Professional,North America,Canada,British Columbia,Cliffside,40000.00,2013-02-15
11079,Donald Gonzalez,1970-03-07,M,S,0,1,2,Graduate Degree,Management,Pacific,Australia,Victoria,Geelong,160000.00,2013-03-15
11080,Damien Chander,1965-01-13,M,M,0,1,2,Graduate Degree,Management,Pacific,Australia,South Australia,Perth,170000.00,2011-04-10
11081,Savannah Baker,1972-01-21,F,M,2,1,3,Bachelors,Management,North America,United States,California,Concord,120000.00,2013-02-12
11082,Angela Butler,1972-02-01,F,S,0,0,3,Graduate Degree,Management,North America,United States,California,Fremont,130000.00,2013-01-22
11083,Alyssa Cox,1977-03-11,F,M,0,1,3,Graduate Degree,Management,North America,United States,California,Lincoln Acres,130000.00,2013-01-06
11084,Lucas Phillips,1963-03-12,M,S,2,0,2,Partial High School,Skilled Manual,North America,United States,Oregon,Lebanon,80000.00,2013-01-04
11085,Emily Johnson,1963-01-16,F,S,2,0,2,High School,Professional,North America,United States,California,Newport Beach,60000.00,2013-12-06
11086,Ryan Brown,1963-06-22,M,M,2,1,0,Partial College,Professional,North America,United States,California,Santa Monica,70000.00,2013-07-02
11087,Tamara Liang,1963-04-02,F,M,3,0,0,Partial College,Professional,North America,United States,California,Chula Vista,70000.00,2013-02-25
11088,Hunter Davis,1963-05-25,M,M,2,1,0,Bachelors,Management,North America,United States,California,San Diego,80000.00,2013-01-13
11089,Abigail Price,1962-08-05,F,S,2,1,1,Bachelors,Management,North America,United States,California,Long Beach,80000.00,2012-12-29
11090,Trevor Bryant,1968-12-13,M,S,2,1,1,Partial College,Professional,North America,United States,California,Los Angeles,90000.00,2011-08-07
11091,Dalton Perez,1962-10-02,M,M,2,1,1,Partial College,Professional,North America,Canada,British Columbia,Haney,90000.00,2013-01-29
11092,Cheryl Diaz,1972-11-02,F,M,2,1,0,Bachelors,Professional,Pacific,Australia,Queensland,East Brisbane,90000.00,2011-04-08
11093,Aimee He,1978-09-06,F,M,0,1,0,Graduate Degree,Management,Pacific,Australia,New South Wales,Wollongong,100000.00,2011-04-07
11094,Cedric Ma,1967-09-29,M,S,1,0,1,Partial College,Skilled Manual,Pacific,Australia,Victoria,Cranbourne,70000.00,2013-04-07
11095,Chad Kumar,1968-02-29,M,S,1,1,1,Partial College,Skilled Manual,Pacific,Australia,New South Wales,Port Macquarie,70000.00,2011-04-01
11096,Andr├⌐s Anand,1968-02-07,M,M,1,1,1,Bachelors,Professional,Pacific,Australia,New South Wales,North Sydney,60000.00,2011-04-11
11097,Edwin Nara,1972-10-23,M,M,1,1,1,Partial College,Skilled Manual,Pacific,Australia,Victoria,Warrnambool,60000.00,2011-04-04
11098,Mallory Rubio,1966-10-29,F,S,1,0,1,Partial College,Skilled Manual,Pacific,Australia,New South Wales,Rhodes,60000.00,2013-02-11
11099,Adam Ross,1966-09-05,M,M,1,1,1,Bachelors,Professional,Pacific,Australia,New South Wales,Port Macquarie,60000.00,2011-04-07
11100,Latasha Navarro,1966-03-15,F,S,1,1,1,Partial College,Skilled Manual,Pacific,Australia,South Australia,Cloverdale,60000.00,2011-04-16
11101,Abby Sai,1970-11-05,F,S,0,0,1,Bachelors,Professional,Pacific,Australia,Victoria,Cranbourne,70000.00,2011-04-29
11102,Julia Nelson,1970-10-19,F,S,5,1,4,Bachelors,Professional,Pacific,Australia,New South Wales,Sydney,80000.00,2013-07-16
11103,Cassie Chande,1981-04-12,F,S,0,1,1,Bachelors,Professional,Pacific,Australia,New South Wales,Darlinghurst,70000.00,2011-04-15
11104,Edgar Sara,1975-03-08,M,M,0,0,1,Bachelors,Professional,Pacific,Australia,Queensland,Gold Coast,70000.00,2011-05-04
11105,Candace Fernandez,1970-06-27,F,S,0,0,1,Bachelors,Professional,Pacific,Australia,New South Wales,Matraville,70000.00,2011-05-14
11106,Jessie Liu,1970-03-11,M,S,0,0,1,Bachelors,Professional,Pacific,Australia,Victoria,Warrnambool,70000.00,2011-05-18
11107,Bianca Lin,1976-03-04,F,M,1,1,1,Bachelors,Professional,Pacific,Australia,New South Wales,St. Leonards,90000.00,2011-05-01
11108,Kari Alvarez,1969-01-10,F,S,0,0,2,Bachelors,Professional,Pacific,Australia,New South Wales,Port Macquarie,70000.00,2011-05-03
11109,Ruben Kapoor,1980-04-30,M,S,0,0,2,Bachelors,Professional,Pacific,Australia,Victoria,South Melbourne,70000.00,2011-05-10
11110,Curtis Yang,1967-12-04,M,M,1,1,1,Partial College,Skilled Manual,Pacific,Australia,New South Wales,Darlinghurst,60000.00,2011-05-01
11111,Meredith Gutierrez,1967-08-23,F,M,1,1,1,Partial College,Skilled Manual,Pacific,Australia,Victoria,Geelong,60000.00,2011-05-20
11112,Crystal Wang,1968-03-08,F,M,1,1,1,Partial College,Skilled Manual,Pacific,Australia,Queensland,Hervey Bay,60000.00,2011-05-25
11113,Micheal Blanco,1973-02-17,M,M,5,1,2,Bachelors,Professional,Pacific,Australia,South Australia,Perth,70000.00,2013-02-01
11114,Leslie Moreno,1967-11-25,F,S,5,1,2,Partial College,Skilled Manual,Pacific,Australia,New South Wales,Rhodes,70000.00,2013-03-18
11115,Alvin Cai,1967-08-12,M,M,5,1,2,Partial College,Skilled Manual,Pacific,Australia,New South Wales,St. Leonards,70000.00,2013-02-10
11116,Clinton Carlson,1979-04-02,M,M,5,1,2,Partial College,Skilled Manual,Pacific,Australia,New South Wales,Sydney,70000.00,2013-03-15
11117,April Deng,1966-08-21,F,M,5,1,3,Partial College,Skilled Manual,Pacific,Australia,New South Wales,Matraville,70000.00,2011-05-06
11118,Alvin Zeng,1962-12-31,M,S,1,0,1,Partial College,Skilled Manual,Pacific,Australia,New South Wales,Lavender Bay,80000.00,2013-07-10
11119,Evan James,1940-10-07,M,S,2,0,2,Partial College,Clerical,Pacific,Australia,New South Wales,Port Macquarie,30000.00,2013-02-03
11120,Beth Jim├⌐nez,1942-02-06,F,S,2,1,1,Bachelors,Management,Pacific,Australia,New South Wales,Sydney,40000.00,2011-05-14
11121,Orlando Suarez,1966-05-18,M,M,5,1,3,Partial College,Skilled Manual,Pacific,Australia,New South Wales,Newcastle,70000.00,2013-06-24
11122,Byron Vazquez,1965-09-30,M,M,5,1,3,Partial College,Skilled Manual,Pacific,Australia,New South Wales,North Sydney,70000.00,2013-02-21
11123,Philip Alvarez,1965-12-18,M,M,5,1,3,Partial College,Skilled Manual,Pacific,Australia,Victoria,Sunbury,70000.00,2013-04-17
11124,Ross Jordan,1968-07-23,M,S,1,1,1,Partial College,Skilled Manual,Pacific,Australia,Victoria,Warrnambool,80000.00,2011-05-05
11125,Dana Navarro,1961-10-06,F,S,1,1,1,Partial College,Skilled Manual,Pacific,Australia,Victoria,Seaford,70000.00,2013-01-31
11126,Shaun Carson,1954-10-05,M,M,2,0,2,High School,Skilled Manual,Pacific,Australia,New South Wales,North Ryde,10000.00,2011-05-28
11127,Jan Edwards,1981-04-19,F,M,0,1,1,High School,Skilled Manual,North America,United States,California,San Gabriel,40000.00,2013-04-10
11128,Samantha Long,1981-06-03,F,M,0,1,1,High School,Skilled Manual,North America,United States,Washington,Renton,40000.00,2013-06-19
11129,Julia Wright,1981-02-01,F,S,0,1,1,High School,Skilled Manual,North America,United States,Washington,Sedro Woolley,40000.00,2011-08-06
11130,Caroline Russell,1985-07-05,F,M,0,1,2,High School,Skilled Manual,North America,United States,Oregon,Lebanon,30000.00,2013-12-09
11131,Amanda Rivera,1985-09-09,F,M,0,0,2,High School,Skilled Manual,North America,Canada,British Columbia,Haney,30000.00,2013-10-18
11132,Melissa Richardson,1986-04-25,F,S,0,0,2,High School,Skilled Manual,North America,Canada,British Columbia,Langford,30000.00,2013-04-09
11133,Angela Griffin,1986-03-08,F,S,0,0,2,Partial High School,Clerical,North America,United States,Oregon,Lake Oswego,30000.00,2013-12-30
11134,Larry Townsend,1957-02-22,M,S,5,1,2,High School,Skilled Manual,Pacific,Australia,South Australia,Perth,10000.00,2011-05-03
11135,Marcus Harris,1985-05-02,M,S,0,0,2,Partial High School,Clerical,North America,United States,California,Burlingame,30000.00,2013-04-18
11136,Brianna Morgan,1984-04-24,F,S,0,0,2,High School,Skilled Manual,North America,Canada,British Columbia,Metchosin,40000.00,2013-01-03
11137,Jasmine Taylor,1984-01-17,F,M,0,1,2,High School,Skilled Manual,North America,United States,Washington,Spokane,40000.00,2013-07-31
11138,Lauren Davis,1984-03-14,F,M,0,0,2,High School,Skilled Manual,North America,United States,California,Glendale,40000.00,2013-09-19
11139,Tanya Moreno,1949-11-05,F,S,2,0,2,Partial College,Clerical,Pacific,Australia,South Australia,Cloverdale,30000.00,2013-09-14
11140,Javier Alvarez,1982-08-11,M,S,0,0,2,Partial High School,Clerical,North America,United States,California,Burbank,30000.00,2013-03-19
11141,Nicole Ramirez,1982-12-19,F,M,0,0,2,High School,Skilled Manual,North America,United States,California,Daly City,40000.00,2013-05-16
11142,Eduardo Patterson,1983-02-11,M,S,0,0,2,High School,Skilled Manual,North America,Canada,British Columbia,Langford,40000.00,2013-02-13
11143,Jonathan Henderson,1982-08-04,M,M,0,1,2,High School,Skilled Manual,North America,United States,California,Lakewood,40000.00,2013-06-15
11144,Edward Hernandez,1985-03-08,M,S,0,0,2,High School,Skilled Manual,North America,United States,Washington,Ballard,40000.00,2013-01-25
11145,Jasmine Coleman,1985-06-06,F,S,0,0,2,High School,Skilled Manual,North America,United States,Oregon,Beaverton,40000.00,2013-01-25
11146,Karla Goel,1945-02-22,F,S,2,1,2,Bachelors,Management,Pacific,Australia,New South Wales,Matraville,40000.00,2013-02-05
11147,Ernest Wu,1944-08-04,M,M,2,1,1,Graduate Degree,Management,Pacific,Australia,Victoria,Warrnambool,60000.00,2011-05-13
11148,Ross Vazquez,1947-02-13,M,M,2,1,2,Bachelors,Management,Pacific,Australia,Queensland,East Brisbane,40000.00,2013-03-07
11149,Theodore Gill,1946-10-18,M,M,2,1,2,Bachelors,Management,Pacific,Australia,Queensland,Hervey Bay,40000.00,2013-06-04
11150,Russell Shen,1946-09-12,M,S,2,1,2,Bachelors,Management,Pacific,Australia,Victoria,Sunbury,40000.00,2013-03-27
11151,Melinda Gill,1947-08-25,F,S,2,0,1,Graduate Degree,Management,Pacific,Australia,New South Wales,Sydney,60000.00,2011-05-15
11152,James Williams,1981-07-09,M,S,0,1,2,High School,Skilled Manual,North America,United States,Washington,Puyallup,40000.00,2013-01-09
11153,Angela James,1981-12-21,F,M,0,1,2,High School,Skilled Manual,North America,United States,Washington,Renton,40000.00,2013-03-29
11154,Megan Walker,1982-02-18,F,S,0,1,1,Partial College,Skilled Manual,North America,United States,Oregon,Woodburn,40000.00,2013-01-10
11155,Hunter Robinson,1981-07-25,M,S,0,0,1,Partial College,Skilled Manual,North America,United States,California,Burbank,40000.00,2013-01-06
11156,Maria Roberts,1981-08-06,F,S,0,0,1,Partial College,Skilled Manual,North America,United States,California,Lakewood,40000.00,2013-01-08
11157,Hannah Long,1980-12-08,F,M,0,1,2,High School,Skilled Manual,North America,United States,Washington,Tacoma,40000.00,2013-07-24
11158,Jason Wright,1981-04-06,M,S,0,1,2,High School,Skilled Manual,North America,United States,California,San Gabriel,40000.00,2013-01-19
11159,Brianna Hughes,1981-03-16,F,S,0,0,2,High School,Skilled Manual,North America,United States,California,Woodland Hills,40000.00,2013-09-08
11160,Maurice Tang,1979-07-08,M,S,0,0,1,Partial College,Skilled Manual,North America,United States,California,Concord,40000.00,2013-02-21
11161,Emily Wood,1979-10-20,F,S,0,0,1,Partial College,Skilled Manual,North America,United States,California,Concord,40000.00,2013-06-01
11162,Chase Cox,1979-09-02,M,S,0,1,1,Partial College,Skilled Manual,North America,United States,California,La Jolla,40000.00,2013-02-18
11163,Gabriel Wang,1980-06-18,M,M,0,1,1,Partial College,Skilled Manual,North America,United States,California,Spring Valley,40000.00,2013-05-01
11164,Devin Brooks,1979-11-02,M,S,0,0,1,Partial College,Skilled Manual,North America,United States,California,Torrance,40000.00,2013-04-27
11165,Jocelyn Alexander,1979-01-15,F,M,0,0,1,Partial College,Skilled Manual,North America,United States,California,Oakland,60000.00,2013-05-25
11166,Ashley Martinez,1977-10-22,F,S,0,0,2,Partial College,Skilled Manual,North America,United States,Washington,Olympia,70000.00,2013-10-14
11167,Jasmine Barnes,1978-01-29,F,S,0,0,1,Bachelors,Management,North America,United States,Washington,Issaquah,80000.00,2013-01-07
11168,David Rodriguez,1973-11-12,M,S,0,0,1,Bachelors,Management,North America,United States,California,Oakland,80000.00,2013-01-15
11169,Bryce Richardson,1973-12-20,M,M,4,1,1,Bachelors,Management,North America,United States,California,Coronado,90000.00,2013-05-26
11170,Carol Howard,1973-08-04,F,M,4,1,1,Bachelors,Management,North America,United States,Washington,Burien,90000.00,2013-08-26
11171,Jonathan Hill,1978-10-05,M,S,1,1,2,Bachelors,Management,North America,United States,California,Woodland Hills,100000.00,2011-08-20
11172,Gabrielle Adams,1973-05-20,F,M,1,1,2,Bachelors,Management,North America,United States,Washington,Lynnwood,100000.00,2013-05-03
11173,Sarah Thomas,1973-02-28,F,S,0,0,4,Graduate Degree,Management,North America,United States,Oregon,W. Linn,110000.00,2013-03-02
11174,Nicholas Robinson,1973-01-09,M,M,0,1,0,Graduate Degree,Management,North America,United States,California,Los Angeles,110000.00,2013-07-13
11175,Luis Wang,1968-09-01,M,S,0,1,2,Partial College,Skilled Manual,North America,United States,California,Beverly Hills,70000.00,2011-08-28
11176,Mason Roberts,1979-01-21,M,M,4,1,1,Bachelors,Management,North America,Canada,British Columbia,Haney,90000.00,2013-02-02
11177,Jose Flores,1948-01-01,M,M,2,1,2,Graduate Degree,Management,North America,United States,California,San Diego,110000.00,2013-03-29
11178,Nathan Johnson,1954-08-20,M,M,2,1,3,Graduate Degree,Management,North America,United States,California,Lakewood,100000.00,2013-02-21
11179,Molly Rodriguez,1959-12-08,F,M,2,1,3,Graduate Degree,Management,North America,United States,California,Beverly Hills,120000.00,2013-03-12
11180,April Anand,1948-07-01,F,M,1,1,4,Bachelors,Management,North America,United States,California,Chula Vista,160000.00,2013-03-17
11181,Devin Martin,1960-02-01,M,M,2,1,2,Graduate Degree,Management,North America,United States,California,Los Angeles,170000.00,2013-05-07
11182,Stephanie Torres,1950-02-22,F,S,4,1,2,Bachelors,Management,North America,United States,Washington,Sedro Woolley,70000.00,2013-08-28
11183,Jasmine Lee,1950-01-12,F,S,4,1,2,Bachelors,Management,North America,United States,California,Santa Cruz,70000.00,2013-04-30
11184,Meghan Hernandez,1955-11-13,F,S,4,1,2,Bachelors,Management,North America,United States,California,Concord,70000.00,2013-08-10
11185,Ashley Henderson,1950-04-07,F,S,4,1,2,Bachelors,Management,North America,Canada,British Columbia,Metchosin,70000.00,2013-02-21
11186,Sarah Price,1949-11-18,F,S,4,1,2,Bachelors,Management,North America,United States,California,Palo Alto,70000.00,2013-10-18
11187,Jennifer Cooper,1949-08-21,F,M,4,1,2,Graduate Degree,Management,North America,United States,Washington,Burien,60000.00,2013-04-03
11188,Catherine Morris,1950-03-06,F,M,4,0,2,Graduate Degree,Management,North America,United States,California,San Gabriel,60000.00,2013-11-01
11189,Lawrence Blanco,1950-01-12,M,S,4,1,2,Graduate Degree,Management,North America,United States,Washington,Bellingham,60000.00,2011-08-26
11190,Carson Bryant,1949-12-20,M,M,5,1,2,Bachelors,Management,North America,United States,California,Beverly Hills,70000.00,2013-08-28
11191,Kristi Perez,1951-06-17,F,S,5,1,3,Bachelors,Management,North America,United States,California,Colma,70000.00,2011-08-11
11192,James Brown,1951-03-13,M,M,4,1,2,Bachelors,Management,North America,United States,Washington,Seattle,60000.00,2013-06-23
11193,Ian Gray,1950-08-13,M,M,4,1,2,Bachelors,Management,North America,United States,Oregon,Woodburn,60000.00,2013-02-25
11194,Jacqueline Price,1950-12-08,F,M,4,1,2,Bachelors,Management,North America,United States,California,Palo Alto,60000.00,2013-03-13
11195,Megan Henderson,1951-08-10,F,M,5,1,3,Bachelors,Management,North America,United States,Washington,Renton,60000.00,2013-04-14
11196,Alfredo Romero,1951-12-05,M,M,5,1,3,Bachelors,Management,North America,United States,Oregon,Beaverton,60000.00,2013-03-03
11197,Andrea Morris,1951-12-16,F,M,3,0,1,Bachelors,Management,North America,United States,Washington,Seattle,70000.00,2013-05-02
11198,Brooke Sanders,1952-05-25,F,S,4,1,1,Bachelors,Management,North America,United States,California,Santa Cruz,70000.00,2013-02-05
